firm_failure,firm_financial_crisis,first_year,age_at_financial_crisis,lifespan,log_total_investment,log_ipo_value,return_to_ipo,log_time_to_ipo,california,industry_segment,firm_founder_ceo,dot_com_ipo,firm_id
1,0,1999,,6,18.067755,19.718706,5.2119317,7.3472996,1,Communications and Networking,0,1,1
1,0,1996,,5,17.080889,18.797674,5.5666113,6.9948502,1,Semiconductors,0,0,2
1,1,2007,1,3,18.765665,20.255245,4.4352312,8.0433426,1,Electronics and Computer Hardware,0,0,3
0,0,2014,,3,18.344791,20.234667,6.6185369,8.1749849,1,Communications and Networking,1,0,4
1,1,2008,0,3,19.277922,20.683607,4.0783172,7.971776,0,Vehicles and Parts,0,0,5
1,0,1998,,1,17.111813,19.497623,10.867867,6.9087548,0,Media and Content,1,1,6
1,0,1996,,1,15.919437,18.072729,8.613162,6.8001699,1,Electronics and Computer Hardware,0,0,7
1,0,1999,,0,16.684896,19.199232,12.358402,8.0401249,0,Communications and Networking,0,1,8
1,1,1998,10,17,17.684555,19.792166,8.2285566,6.7464123,1,Media and Content,1,1,9
1,1,2005,3,7,17.379358,19.883406,12.231919,7.7253299,0,Communications and Networking,1,0,10
1,0,1998,,1,17.020641,19.327278,10.040586,7.2737865,1,Software,1,1,11
1,1,1998,10,15,16.381891,18.736332,10.532252,7.4324837,1,Software,1,0,12
0,0,2014,,3,18.076349,17.672886,.66800225,8.1850719,1,Semiconductors,1,0,13
1,0,1998,,0,17.112877,19.30492,8.9535017,7.3702307,1,Business Support Services,0,1,14
1,1,2004,4,6,17.439886,19.619328,8.8413706,7.9741888,1,Semiconductors,1,0,15
1,0,1999,,2,17.675219,20.166649,12.078535,7.0228682,0,Communications and Networking,1,1,16
0,1,1997,11,21,,,,,,,,,17
0,0,2014,,3,18.160263,19.560213,4.0549936,7.9895606,1,Communications and Networking,0,0,18
1,0,1998,,9,16.474277,19.849264,29.223944,7.2363396,0,Communications and Networking,1,1,19
0,1,1996,12,21,18.443336,19.686466,3.466445,7.2806973,0,Financial Institutions and Services,1,0,20
1,0,1999,,7,16.961376,19.787455,16.879131,7.3907986,1,Software,1,1,21
0,0,2012,,3,19.74209,20.642546,2.4607213,8.9929304,0,Communications and Networking,0,0,22
1,0,1997,,2,16.226316,18.986988,15.810463,7.2174435,0,Software,0,1,23
1,0,1997,,5,19.372545,20.322269,2.5849984,6.1246834,0,Communications and Networking,1,0,24
1,0,2002,,4,17.389326,19.039555,5.2081618,7.2384968,0,Software,0,0,25
0,0,2012,,6,17.388521,18.539791,3.1622059,8.0684032,1,Semiconductors,0,0,26
1,0,2004,,3,17.611212,18.481209,2.3869021,9.0833025,0,Financial Institutions and Services,0,0,27
1,1,2008,0,6,,17.936172,,7.8300281,0,Communications and Networking,1,0,28
1,0,1999,,0,16.252363,19.242119,19.880859,7.9721212,0,Media and Content,1,1,29
1,0,2011,,5,18.604994,19.973793,3.9306321,8.711937,0,Consumer Information Services,1,0,30
0,0,2012,,5,18.075964,18.282988,1.2300099,8.7086401,0,Communications and Networking,1,0,31
1,0,1999,,5,16.553713,19.592657,20.883167,8.2955484,0,Software,0,1,32
1,0,2003,,1,18.372671,19.830799,4.2979054,7.9416513,0,Financial Institutions and Services,0,0,33
1,1,2007,1,3,16.941589,19.210928,9.6729965,7.9536695,1,Software,0,0,34
1,0,1999,,5,17.23477,19.257072,7.5557013,7.6396422,1,Software,0,1,35
1,0,1999,,0,17.500988,20.826113,27.802469,7.0783415,0,Communications and Networking,1,1,36
1,1,1998,10,11,16.271046,19.716742,31.365143,7.9334383,0,Software,1,1,37
1,0,1997,,7,15.757809,18.62137,17.52383,7.8244457,1,Semiconductors,1,0,38
1,1,2007,1,7,18.182989,20.384237,9.0362921,7.5342283,1,Communications and Networking,0,0,39
1,0,1993,,5,15.830414,18.753202,18.593065,7.5953875,1,Communications and Networking,0,0,40
0,1,1999,9,18,16.230709,18.869444,13.995486,6.5206213,0,Software,1,1,41
1,0,1999,,2,17.565441,19.817484,9.5071449,6.338594,0,Retailers,0,1,42
1,0,1998,,6,17.133146,19.63015,12.146049,7.0255384,1,Consumer Information Services,0,1,43
0,0,2014,,3,18.999413,18.830111,.8442536,8.4740772,0,Materials and Chemicals,0,0,44
1,0,1996,,5,14.015137,17.790579,43.61681,8.6166763,0,Renewable Energy,0,0,45
1,1,2003,5,7,18.180384,20.13415,7.0552144,7.6468315,1,Semiconductors,0,0,46
1,0,2011,,3,17.194843,19.337965,8.5260143,8.3633423,1,Electronics and Computer Hardware,0,0,47
1,0,2001,,0,14.927461,17.257549,10.278861,7.8276396,0,Communications and Networking,1,0,48
1,0,1999,,5,14.568785,18.717127,63.329018,8.0352793,0,Semiconductors,1,1,49
1,0,1995,,1,16.701513,18.885468,8.8813686,7.52564,1,Software,0,0,50
1,1,2007,1,4,17.726528,19.274595,4.7023711,8.0621176,0,Semiconductors,1,0,51
0,1,1998,10,19,18.117144,19.84684,5.6389456,6.9508147,1,Consumer Information Services,0,1,52
1,0,1998,,2,16.189806,19.534872,28.362465,7.145196,1,Consumer Information Services,0,1,53
1,0,1999,,2,17.551456,19.788187,9.3626699,7.0783415,1,Software,0,1,54
1,0,1999,,7,16.878183,21.008142,62.175388,6.8814111,0,Business Support Services,0,1,55
1,1,1999,9,9,18.767324,20.999107,9.3164549,7.2115569,0,Communications and Networking,0,1,56
