"","carat","cut","color","clarity","depth","table","price","x","y","z","clarity_level"
"1",0.32,"Premium","E","I1",60.9,58,345,4.38,4.42,2.68,"low"
"2",1.17,"Very Good","J","I1",60.2,61,2774,6.83,6.9,4.13,"low"
"3",1.01,"Premium","F","I1",61.8,60,2781,6.39,6.36,3.94,"low"
"4",0.52,"Ideal","F","IF",62.2,55,2783,5.14,5.18,3.21,"high"
"5",1.01,"Fair","E","I1",64.5,58,2788,6.29,6.21,4.03,"low"
"6",0.55,"Ideal","G","IF",60.9,57,2789,5.28,5.3,3.22,"high"
"7",0.64,"Ideal","G","IF",61.3,56,2790,5.54,5.58,3.41,"high"
"8",0.72,"Premium","I","IF",63,57,2795,5.72,5.7,3.6,"high"
"9",0.6,"Very Good","G","IF",61.6,56,2800,5.43,5.46,3.35,"high"
"10",0.61,"Ideal","G","IF",62.3,56,2800,5.43,5.45,3.39,"high"
"11",0.96,"Ideal","F","I1",60.7,55,2801,6.37,6.41,3.88,"low"
"12",1.04,"Premium","G","I1",62.2,58,2801,6.46,6.41,4,"low"
"13",0.53,"Ideal","F","IF",61.9,54,2802,5.22,5.25,3.24,"high"
"14",1,"Fair","G","I1",66.4,59,2808,6.16,6.09,4.07,"low"
"15",1.2,"Fair","F","I1",64.6,56,2809,6.73,6.66,4.33,"low"
"16",0.43,"Very Good","E","I1",58.4,62,555,4.94,5,2.9,"low"
"17",1.02,"Premium","G","I1",60.3,58,2815,6.55,6.5,3.94,"low"
"18",1,"Premium","H","I1",61.3,60,2818,6.43,6.39,3.93,"low"
"19",1.17,"Premium","J","I1",60.2,61,2825,6.9,6.83,4.13,"low"
"20",0.96,"Ideal","F","I1",60.7,55,2826,6.41,6.37,3.88,"low"
"21",0.97,"Ideal","F","I1",60.7,56,2830,6.41,6.43,3.9,"low"
"22",0.56,"Very Good","E","IF",61,59,2833,5.28,5.34,3.24,"high"
"23",1,"Premium","F","I1",58.9,60,2841,6.6,6.55,3.87,"low"
"24",1.01,"Ideal","I","I1",61.5,57,2844,6.45,6.46,3.97,"low"
"25",1.01,"Good","I","I1",63.1,57,2844,6.35,6.39,4.02,"low"
"26",1.01,"Good","H","I1",64.2,61,2846,6.25,6.18,3.99,"low"
"27",1.2,"Very Good","H","I1",63.1,60,2850,6.75,6.67,4.23,"low"
"28",0.58,"Very Good","E","IF",60.6,59,2852,5.37,5.43,3.27,"high"
"29",1.12,"Premium","H","I1",59.1,61,2854,6.78,6.75,4,"low"
"30",0.97,"Ideal","F","I1",60.7,56,2856,6.43,6.41,3.9,"low"
"31",0.62,"Fair","F","IF",60.1,61,2861,5.53,5.56,3.33,"high"
"32",1.22,"Premium","E","I1",60.9,57,2862,6.93,6.88,4.21,"low"
"33",0.62,"Ideal","G","IF",60.5,57,2868,5.52,5.56,3.35,"high"
"34",1.08,"Premium","D","I1",61.9,60,2869,6.55,6.48,4.03,"low"
"35",0.62,"Ideal","G","IF",61.8,56,2869,5.43,5.47,3.37,"high"
"36",1.04,"Premium","I","I1",61.6,61,2870,6.47,6.45,3.98,"low"
"37",1.02,"Ideal","I","I1",61.7,56,2872,6.44,6.49,3.99,"low"
"38",0.63,"Premium","E","IF",60.3,62,2879,5.55,5.53,3.34,"high"
"39",1.05,"Premium","H","I1",62,59,2881,6.5,6.47,4.02,"low"
"40",0.7,"Very Good","H","IF",62.8,56,2882,5.62,5.65,3.54,"high"
"41",1.19,"Fair","H","I1",65.1,59,2892,6.62,6.55,4.29,"low"
"42",1.01,"Very Good","I","I1",63.1,57,2896,6.39,6.35,4.02,"low"
"43",1.01,"Ideal","I","I1",61.5,57,2896,6.46,6.45,3.97,"low"
"44",0.51,"Very Good","E","IF",63.3,58,2925,5.03,5.08,3.2,"high"
"45",0.71,"Ideal","I","IF",61.5,56,2925,5.74,5.77,3.54,"high"
"46",1.02,"Ideal","I","I1",61.7,56,2925,6.49,6.44,3.99,"low"
"47",1.2,"Premium","I","I1",60.5,58,2925,6.9,6.79,4.14,"low"
"48",1.17,"Fair","I","I1",65.4,62,2935,6.68,6.57,4.33,"low"
"49",1.24,"Very Good","J","I1",61.9,55,2940,6.85,6.92,4.26,"low"
"50",1,"Good","H","I1",57.6,61,2940,6.67,6.6,3.82,"low"
"51",0.74,"Ideal","I","IF",62.1,53.9,2952,5.79,5.81,3.6,"high"
"52",0.64,"Ideal","G","IF",61.7,58,2960,5.52,5.56,3.42,"high"
"53",1.5,"Fair","H","I1",65.6,54,2964,7.26,7.09,4.7,"low"
"54",1.05,"Premium","E","I1",61.4,58,2964,6.53,6.46,3.99,"low"
"55",0.24,"Ideal","G","IF",61.7,56,559,3.99,4.01,2.47,"high"
"56",0.24,"Ideal","G","IF",60.8,58,559,4.01,4.05,2.44,"high"
"57",0.24,"Ideal","G","IF",61.8,55,559,3.99,4.02,2.47,"high"
"58",0.24,"Ideal","G","IF",61.6,57,559,3.99,4.02,2.46,"high"
"59",0.24,"Ideal","G","IF",61.3,57,559,4,4.03,2.46,"high"
"60",0.25,"Very Good","F","IF",61.5,56,560,4.04,4.06,2.48,"high"
"61",0.27,"Very Good","F","IF",60.4,58,560,4.18,4.2,2.53,"high"
"62",1.13,"Fair","H","I1",64.8,59,2968,6.52,6.42,4.19,"low"
"63",0.57,"Ideal","F","IF",61.8,54,2974,5.33,5.35,3.3,"high"
"64",0.64,"Good","F","IF",58.6,61,2980,5.69,5.71,3.34,"high"
"65",1,"Premium","G","I1",62.5,62,2984,6.42,6.35,3.99,"low"
"66",0.6,"Very Good","F","IF",60.1,54,2988,5.5,5.58,3.33,"high"
"67",1.03,"Very Good","G","I1",63.2,58,2988,6.44,6.34,4.04,"low"
"68",0.76,"Ideal","I","IF",61.6,55,2988,5.92,5.89,3.64,"high"
"69",1.24,"Premium","J","I1",61.9,55,2994,6.92,6.85,4.26,"low"
"70",1.02,"Fair","H","I1",61.5,60,2999,6.4,6.34,3.92,"low"
"71",1,"Very Good","G","I1",62.5,62,3011,6.42,6.35,3.99,"low"
"72",1.2,"Fair","J","I1",64.9,59,3011,6.61,6.54,4.27,"low"
"73",1.2,"Fair","I","I1",62.2,66,3011,6.77,6.7,4.2,"low"
"74",1.2,"Fair","I","I1",66.2,55,3011,6.61,6.51,4.34,"low"
"75",1.01,"Premium","G","I1",61.1,61,3014,6.49,6.35,3.92,"low"
"76",1.12,"Premium","G","I1",60.3,60,3017,6.75,6.69,4.05,"low"
"77",1.12,"Very Good","G","I1",61.2,63,3017,6.68,6.59,4.05,"low"
"78",1.03,"Very Good","G","I1",60.8,57,3018,6.51,6.55,3.97,"low"
"79",1.01,"Good","E","I1",63.8,57,3032,6.4,6.33,4.06,"low"
"80",0.52,"Ideal","E","IF",61.1,57,3033,5.17,5.21,3.17,"high"
"81",0.72,"Premium","H","IF",58.7,59,3048,5.94,5.88,3.47,"high"
"82",1.02,"Good","E","I1",63.1,60,3051,6.31,6.4,4.01,"low"
"83",0.66,"Very Good","G","IF",60.5,59,3051,5.69,5.74,3.46,"high"
"84",1.03,"Very Good","G","I1",62.4,57,3060,6.41,6.45,4.01,"low"
"85",0.65,"Ideal","H","IF",61.5,55,3065,5.6,5.62,3.45,"high"
"86",1.03,"Premium","G","I1",60.8,57,3073,6.55,6.51,3.97,"low"
"87",1,"Very Good","E","I1",62.3,58,3080,6.33,6.38,3.96,"low"
"88",1,"Ideal","H","I1",61.3,57,3080,6.41,6.44,3.94,"low"
"89",1.2,"Premium","G","I1",60.3,58,3091,6.82,6.77,4.1,"low"
"90",1.29,"Good","I","I1",64.2,54,3098,6.93,6.83,4.42,"low"
"91",1.52,"Good","E","I1",57.3,58,3105,7.53,7.42,4.28,"low"
"92",1.52,"Good","E","I1",57.3,58,3105,7.53,7.42,4.28,"low"
"93",1.01,"Good","H","I1",63.2,58,3110,6.33,6.39,4.02,"low"
"94",0.71,"Very Good","H","IF",63,57,3112,5.63,5.7,3.57,"high"
"95",1.08,"Premium","H","I1",61.7,59,3118,6.54,6.59,4.05,"low"
"96",1.13,"Good","G","I1",63.4,58,3127,6.58,6.61,4.18,"low"
"97",1,"Premium","E","I1",62.3,58,3136,6.38,6.33,3.96,"low"
"98",1,"Ideal","H","I1",61.3,57,3136,6.44,6.41,3.94,"low"
"99",1.02,"Premium","H","I1",62.5,60,3141,6.39,6.41,4,"low"
"100",1.02,"Very Good","E","I1",60.6,63,3141,6.46,6.52,3.93,"low"
"101",0.68,"Very Good","G","IF",62.7,56,3143,5.56,5.6,3.5,"high"
"102",1.21,"Good","E","I1",57.2,62,3144,7.01,6.95,3.99,"low"
"103",0.71,"Ideal","H","IF",61.2,56,3146,5.74,5.79,3.53,"high"
"104",1.06,"Premium","F","I1",60.3,58,3158,6.59,6.56,3.96,"low"
"105",1.01,"Premium","H","I1",58.1,59,3167,6.66,6.6,0,"low"
"106",0.7,"Ideal","H","IF",62.2,55,3167,5.68,5.71,3.54,"high"
"107",1.01,"Very Good","H","I1",63.2,58,3167,6.39,6.33,4.02,"low"
"108",1.08,"Ideal","F","I1",61.8,56,3168,6.64,6.62,4.1,"low"
"109",1.23,"Ideal","H","I1",61.6,55,3168,6.92,6.87,4.25,"low"
"110",1.03,"Ideal","H","I1",61.5,57,3172,6.48,6.52,4,"low"
"111",1.03,"Premium","H","I1",61.1,60,3172,6.46,6.51,3.96,"low"
"112",1.5,"Fair","H","I1",69.3,61,3175,6.99,6.81,4.78,"low"
"113",1.5,"Good","G","I1",57.4,62,3179,7.56,7.39,4.29,"low"
"114",1.11,"Premium","I","I1",61.8,59,3183,6.65,6.58,4.09,"low"
"115",0.72,"Premium","G","IF",60.1,58,3185,5.89,5.86,3.53,"high"
"116",0.71,"Ideal","H","IF",62,54,3190,5.71,5.75,3.55,"high"
"117",1.02,"Very Good","E","I1",60.6,63,3199,6.52,6.46,3.93,"low"
"118",1.02,"Premium","H","I1",62.5,60,3199,6.41,6.39,4,"low"
"119",1.04,"Good","H","I1",63.9,58,3203,6.35,6.42,4.08,"low"
"120",1.04,"Very Good","H","I1",61.6,61,3203,6.45,6.47,3.98,"low"
"121",1.11,"Premium","H","I1",61,59,3205,6.61,6.67,4.05,"low"
"122",0.71,"Fair","F","IF",58.7,62,3205,5.87,5.81,3.43,"high"
"123",1.18,"Very Good","E","I1",59.9,63,3219,6.8,6.85,4.09,"low"
"124",0.82,"Premium","I","IF",61.2,60,3224,6.03,5.99,3.68,"high"
"125",1.03,"Ideal","H","I1",61.5,57,3230,6.52,6.48,4,"low"
"126",0.71,"Ideal","H","IF",62.2,57,3234,5.7,5.74,3.56,"high"
"127",1.05,"Very Good","E","I1",62.2,61,3234,6.48,6.51,4.04,"low"
"128",0.72,"Ideal","H","IF",61.4,56,3257,5.76,5.8,3.55,"high"
"129",1.04,"Good","H","I1",63.9,58,3261,6.42,6.35,4.08,"low"
"130",1.04,"Premium","H","I1",61.6,61,3261,6.47,6.45,3.98,"low"
"131",1.11,"Premium","H","I1",61,59,3263,6.67,6.61,4.05,"low"
"132",0.67,"Ideal","G","IF",61.6,55,3271,5.61,5.65,3.47,"high"
"133",1.25,"Ideal","E","I1",60.9,56,3276,6.95,6.91,4.22,"low"
"134",1.18,"Very Good","E","I1",59.9,63,3278,6.85,6.8,4.09,"low"
"135",0.72,"Ideal","H","IF",62.1,58,3283,5.72,5.75,3.56,"high"
"136",1.01,"Very Good","G","I1",62.4,59,3288,6.35,6.41,3.98,"low"
"137",0.71,"Ideal","H","IF",61.1,56,3290,5.74,5.78,3.52,"high"
"138",0.71,"Ideal","H","IF",61.6,55,3290,5.75,5.78,3.55,"high"
"139",1.05,"Premium","E","I1",62.2,61,3293,6.51,6.48,4.04,"low"
"140",1,"Very Good","E","I1",63,57,3300,6.32,6.35,3.99,"low"
"141",0.73,"Ideal","H","IF",62.2,54,3301,5.76,5.82,3.6,"high"
"142",0.76,"Good","G","IF",64.6,61,3304,5.72,5.8,3.72,"high"
"143",0.7,"Ideal","H","IF",61.3,59,3309,5.69,5.72,3.5,"high"
"144",0.27,"Very Good","G","IF",60.8,57,566,4.2,4.22,2.56,"high"
"145",0.27,"Ideal","H","IF",61.6,56,566,4.18,4.21,2.58,"high"
"146",0.27,"Ideal","G","IF",61.6,57,566,4.18,4.21,2.58,"high"
"147",0.62,"Ideal","G","IF",61.8,56,3310,5.45,5.48,3.38,"high"
"148",1.02,"Ideal","G","I1",61.5,56,3321,6.46,6.49,3.98,"low"
"149",1.27,"Ideal","I","I1",62.3,56,3328,6.91,6.86,4.29,"low"
"150",0.61,"Very Good","E","IF",61.7,58,3337,5.39,5.47,3.35,"high"
"151",1,"Premium","F","I1",62.4,59,3344,6.34,6.38,3.97,"low"
"152",1.01,"Premium","G","I1",59.4,61,3348,6.51,6.45,3.85,"low"
"153",0.71,"Premium","H","IF",62.9,60,3349,5.74,5.67,3.59,"high"
"154",1.07,"Good","F","I1",64.3,59,3354,6.37,6.42,4.11,"low"
"155",0.71,"Ideal","H","IF",63,57,3354,5.68,5.72,3.59,"high"
"156",1.28,"Ideal","H","I1",61.9,56,3355,6.95,6.91,4.29,"low"
"157",0.8,"Ideal","I","IF",62.4,58,3357,5.9,5.96,3.7,"high"
"158",1,"Ideal","E","I1",63,57,3360,6.35,6.32,3.99,"low"
"159",0.63,"Ideal","G","IF",61.9,56,3363,5.5,5.52,3.41,"high"
"160",1.13,"Ideal","F","I1",61.2,56,3366,6.76,6.71,4.12,"low"
"161",0.76,"Very Good","H","IF",62.6,57,3367,5.8,5.83,3.64,"high"
"162",1.23,"Premium","F","I1",60.8,59,3375,6.96,6.91,4.22,"low"
"163",1.01,"Ideal","F","I1",62.2,54,3377,6.42,6.44,4,"low"
"164",0.5,"Good","D","IF",63.2,59,3378,4.99,5.04,3.17,"high"
"165",0.5,"Very Good","D","IF",62.9,59,3378,4.99,5.09,3.17,"high"
"166",0.73,"Ideal","H","IF",61.6,55,3378,5.8,5.82,3.58,"high"
"167",0.62,"Ideal","G","IF",60.3,57,3378,5.54,5.61,3.35,"high"
"168",0.27,"Very Good","F","IF",59.4,61,567,4.23,4.26,2.52,"high"
"169",1.02,"Ideal","G","I1",61.5,56,3382,6.49,6.46,3.98,"low"
"170",0.71,"Premium","H","IF",60.2,61,3384,5.8,5.76,3.48,"high"
"171",1.01,"Ideal","E","I1",62,57,3388,6.37,6.41,3.96,"low"
"172",0.71,"Good","F","IF",62.1,62,3393,5.68,5.79,3.56,"high"
"173",1.01,"Premium","E","I1",59.8,58,3394,6.57,6.53,3.92,"low"
"174",0.7,"Premium","E","IF",62.9,59,3403,5.66,5.59,3.4,"high"
"175",0.72,"Very Good","G","IF",63.3,54,3405,5.64,5.73,3.6,"high"
"176",1,"Premium","F","I1",62.4,59,3405,6.38,6.34,3.97,"low"
"177",1.07,"Ideal","H","I1",62.1,55,3412,6.55,6.59,4.08,"low"
"178",1.07,"Good","F","I1",64.3,59,3415,6.42,6.37,4.11,"low"
"179",1.21,"Good","G","I1",64,59,3415,6.78,6.73,4.32,"low"
"180",0.73,"Ideal","H","IF",61.4,59,3429,5.77,5.83,3.56,"high"
"181",1.01,"Ideal","F","I1",62.2,54,3439,6.44,6.42,4,"low"
"182",1.03,"Ideal","F","I1",61.1,55,3444,6.51,6.54,3.99,"low"
"183",0.71,"Very Good","H","IF",60.2,61,3444,5.76,5.8,3.48,"high"
"184",1.03,"Premium","F","I1",62.3,59,3444,6.42,6.46,4.01,"low"
"185",0.51,"Ideal","D","IF",62,56,3446,5.14,5.18,3.2,"high"
"186",0.51,"Ideal","D","IF",62.1,55,3446,5.12,5.13,3.19,"high"
"187",0.7,"Premium","G","IF",60,59,3447,5.75,5.79,3.46,"high"
"188",1.01,"Ideal","E","I1",62,57,3450,6.41,6.37,3.96,"low"
"189",0.35,"Ideal","J","IF",61.8,55,569,4.54,4.56,2.81,"high"
"190",0.35,"Ideal","J","IF",61.8,53,569,4.58,4.61,2.84,"high"
"191",1.02,"Very Good","E","I1",60.4,62,3455,6.47,6.52,3.92,"low"
"192",1.5,"Premium","H","I1",60.1,57,3457,7.4,7.28,4.42,"low"
"193",1.02,"Ideal","G","I1",61.2,56,3459,6.47,6.5,3.97,"low"
"194",1.13,"Premium","H","I1",62.7,59,3480,6.58,6.63,4.14,"low"
"195",1.01,"Good","E","I1",61.5,65,3484,6.28,6.21,3.84,"low"
"196",1.51,"Good","G","I1",64,59,3497,7.29,7.17,4.63,"low"
"197",1.52,"Fair","H","I1",64.9,58,3504,7.18,7.13,4.65,"low"
"198",1.2,"Ideal","I","I1",61.9,56,3505,6.82,6.85,4.23,"low"
"199",1.03,"Ideal","F","I1",61.1,55,3507,6.54,6.51,3.99,"low"
"200",1.19,"Very Good","E","I1",60.2,61,3508,6.87,6.91,4.15,"low"
"201",0.55,"Good","D","IF",58,62,3509,5.31,5.41,3.12,"high"
"202",1.15,"Very Good","G","I1",61.2,58,3510,6.74,6.8,4.14,"low"
"203",0.53,"Ideal","D","IF",61.5,54,3517,5.27,5.21,3.22,"high"
"204",1.02,"Premium","E","I1",60.4,62,3519,6.52,6.47,3.92,"low"
"205",1,"Ideal","E","I1",61.8,56,3520,6.38,6.43,3.96,"low"
"206",1.24,"Premium","E","I1",61.1,62,3528,6.91,6.86,4.21,"low"
"207",0.65,"Ideal","G","IF",60.1,57,3536,5.61,5.65,3.38,"high"
"208",1.52,"Premium","I","I1",61.2,58,3541,7.43,7.35,4.52,"low"
"209",1.13,"Ideal","F","I1",62.2,55,3542,6.63,6.68,4.14,"low"
"210",0.7,"Very Good","G","IF",58.5,60,3543,5.83,5.87,3.42,"high"
"211",1.06,"Ideal","F","I1",62.1,55,3544,6.54,6.57,4.07,"low"
"212",1.06,"Ideal","F","I1",61.8,55,3544,6.55,6.58,4.06,"low"
"213",1.13,"Premium","H","I1",62.7,59,3544,6.63,6.58,4.14,"low"
"214",0.71,"Premium","G","IF",61.9,58,3545,5.74,5.77,3.56,"high"
"215",1.07,"Premium","G","I1",62.3,60,3547,6.55,6.51,4.07,"low"
"216",1.09,"Ideal","G","I1",61,56,3549,6.62,6.66,4.05,"low"
"217",1.2,"Ideal","I","I1",61.9,56,3570,6.85,6.82,4.23,"low"
"218",1.19,"Premium","E","I1",60.2,61,3572,6.91,6.87,4.15,"low"
"219",1.15,"Premium","G","I1",61.2,58,3574,6.8,6.74,4.14,"low"
"220",0.71,"Premium","F","IF",61.1,58,3578,5.8,5.72,3.52,"high"
"221",0.71,"Good","G","IF",57.8,62,3583,5.82,5.95,3.4,"high"
"222",1,"Premium","E","I1",60.9,61,3584,6.41,6.37,3.89,"low"
"223",1,"Ideal","E","I1",61.8,56,3584,6.43,6.38,3.96,"low"
"224",1.11,"Premium","D","I1",61.9,58,3589,6.63,6.66,4.11,"low"
"225",0.7,"Premium","G","IF",62.2,58,3591,5.63,5.69,3.52,"high"
"226",1.02,"Ideal","F","I1",61,56,3599,6.53,6.51,3.98,"low"
"227",1.5,"Premium","H","I1",61.1,59,3599,7.37,7.26,4.47,"low"
"228",1.13,"Ideal","H","I1",61.1,56,3603,6.71,6.77,4.12,"low"
"229",1.15,"Ideal","H","I1",62,55,3606,6.76,6.69,4.17,"low"
"230",1.13,"Premium","F","I1",62.3,56,3607,6.69,6.61,4.14,"low"
"231",1.13,"Ideal","F","I1",62.2,55,3607,6.68,6.63,4.14,"low"
"232",1.06,"Ideal","F","I1",62.1,55,3609,6.57,6.54,4.07,"low"
"233",0.72,"Very Good","G","IF",60.7,56,3614,5.78,5.81,3.52,"high"
"234",1.09,"Ideal","G","I1",61,56,3614,6.66,6.62,4.05,"low"
"235",0.7,"Very Good","E","IF",63.4,58,3622,5.64,5.59,3.56,"high"
"236",1.1,"Ideal","F","I1",61.3,56.9,3623,6.62,6.68,4.08,"low"
"237",1.03,"Ideal","F","I1",61,56,3634,6.58,6.52,3.99,"low"
"238",0.71,"Premium","G","IF",62,58,3642,5.67,5.72,3.53,"high"
"239",1.16,"Premium","D","I1",61.8,59,3644,6.74,6.78,4.18,"low"
"240",1.11,"Premium","D","I1",61.9,58,3655,6.66,6.63,4.11,"low"
"241",1.22,"Very Good","H","I1",61.6,56,3663,6.8,6.87,4.21,"low"
"242",1.19,"Ideal","H","I1",61.5,57,3665,6.79,6.83,4.19,"low"
"243",1.27,"Very Good","I","I1",60.2,62,3665,7,7.05,4.23,"low"
"244",0.9,"Good","I","IF",63.7,64,3669,6.07,6.02,3.85,"high"
"245",1.17,"Premium","H","I1",62.8,58,3669,6.71,6.69,4.21,"low"
"246",1.13,"Ideal","H","I1",61.1,56,3669,6.77,6.71,4.12,"low"
"247",0.7,"Ideal","G","IF",60.2,57,3672,5.78,5.84,3.5,"high"
"248",0.9,"Ideal","J","IF",62.2,57,3677,6.17,6.14,3.83,"high"
"249",1.13,"Ideal","H","I1",62.2,55,3678,6.65,6.69,4.15,"low"
"250",1.1,"Ideal","F","I1",61.8,56,3678,6.61,6.65,4.1,"low"
"251",1.1,"Very Good","F","I1",59.8,61,3678,6.65,6.7,3.99,"low"
"252",1.21,"Ideal","I","I1",61.3,57,3686,6.94,6.89,4.24,"low"
"253",1.1,"Ideal","F","I1",61.3,57,3690,6.68,6.62,4.08,"low"
"254",1.23,"Fair","E","I1",67.4,56,3692,6.76,6.56,4.49,"low"
"255",1.2,"Very Good","H","I1",58.6,57,3696,6.96,7.01,4.09,"low"
"256",1.5,"Good","I","I1",63.7,61,3696,7.22,7.1,4.57,"low"
"257",1.16,"Premium","D","I1",61.8,59,3711,6.78,6.74,4.18,"low"
"258",1.04,"Ideal","F","I1",61.6,57,3718,6.51,6.46,4,"low"
