"","id","heduc","heblack","interracial","years","div"
"1",9,"12-15 years",0,0,10.546,0
"2",11,"< 12 years",0,0,34.943,0
"3",13,"< 12 years",0,0,2.834,1
"4",15,"< 12 years",0,0,17.532,1
"5",33,"12-15 years",0,0,1.418,0
"6",36,"< 12 years",0,0,48.033,0
"7",43,"16+ years",0,0,16.706,0
"8",47,"< 12 years",0,0,24.999,0
"9",50,"< 12 years",0,0,24.999,0
"10",56,"< 12 years",1,0,3.869,0
"11",63,"12-15 years",1,0,7.732,0
"12",66,"12-15 years",0,0,5.2105,1
"13",70,"12-15 years",0,0,15.444,0
"14",77,"16+ years",0,0,4.085,0
"15",80,"< 12 years",0,0,17.333,0
"16",84,"12-15 years",0,0,16.331,0
"17",87,"12-15 years",0,0,35.335,0
"18",90,"< 12 years",0,0,37.67,0
"19",91,"12-15 years",0,0,19.1865,1
"20",94,"12-15 years",0,0,22.697,0
"21",109,"< 12 years",0,0,50.776,0
"22",111,"< 12 years",0,0,37.495,0
"23",114,"< 12 years",0,0,30.738,0
"24",116,"< 12 years",0,0,48.654,0
"25",118,"< 12 years",0,0,33.024,0
"26",120,"< 12 years",0,0,36.668,0
"27",122,"16+ years",0,0,27.992,0
"28",124,"16+ years",0,0,27.789,0
"29",128,"12-15 years",0,0,3.2525,1
"30",129,"12-15 years",0,0,5.67,1
"31",137,"< 12 years",0,0,17.999,0
"32",139,"< 12 years",0,0,7.5975,1
"33",141,"< 12 years",0,0,1.791,0
"34",145,"< 12 years",0,0,2.475,0
"35",148,"12-15 years",0,0,35.959,0
"36",153,"12-15 years",0,0,13.136,0
"37",160,"12-15 years",0,0,5.717,0
"38",162,"12-15 years",0,0,5.717,0
"39",164,"12-15 years",0,0,26.278,0
"40",165,"12-15 years",0,0,4.331,1
"41",166,"< 12 years",0,0,8.893,0
"42",170,"12-15 years",0,0,15.743,0
"43",183,"< 12 years",0,0,4.671,1
"44",194,"< 12 years",0,0,48.356,0
"45",196,"< 12 years",0,0,39.332,0
"46",199,"< 12 years",0,0,39.332,0
"47",212,"12-15 years",0,0,61.525,0
"48",214,"12-15 years",0,0,12.999,0
"49",219,"12-15 years",0,0,14.817,0
"50",221,"< 12 years",0,0,33.755,1
"51",223,"< 12 years",0,0,56.999,0
"52",226,"12-15 years",0,0,3.606,0
"53",228,"< 12 years",0,0,3.606,0
"54",230,"< 12 years",1,0,16.999,0
"55",232,"< 12 years",1,0,42.015,1
"56",234,"12-15 years",0,0,37.837,0
