"","ID","Gender","Offer","Advisor","Time","Major","Coursera"
"1",1,1,1,34,99,"STEM",83
"2",2,1,1,32,189,"not-STEM",39
"3",3,1,0,37,69,"STEM",54
"4",4,1,0,40,97,"not-STEM",NA
"5",5,1,1,28,65,"STEM",30
"6",6,1,0,37,84,"not-STEM",48
"7",7,1,1,44,119,"STEM",30
"8",8,1,1,37,134,"not-STEM",NA
"9",9,1,0,21,98,"STEM",NA
"10",10,1,0,23,72,"not-STEM",65
"11",11,1,1,19,150,"STEM",NA
"12",12,1,1,31,148,"not-STEM",56
"13",13,1,1,42,59,"STEM",48
"14",14,1,1,42,113,"not-STEM",67
"15",15,1,1,33,84,"STEM",44
"16",16,1,1,27,83,"not-STEM",40
"17",17,1,1,38,81,"STEM",43
"18",18,1,1,23,115,"not-STEM",25
"19",19,1,1,18,111,"STEM",82
"20",20,1,1,47,116,"not-STEM",47
"21",21,1,1,29,55,"STEM",52
"22",22,1,0,47,128,"not-STEM",NA
"23",23,1,0,14,125,"STEM",55
"24",24,1,0,21,178,"not-STEM",65
"25",25,1,1,27,136,"STEM",78
"26",26,1,1,22,144,"not-STEM",43
"27",27,1,1,15,99,"STEM",56
"28",28,1,1,28,104,"not-STEM",NA
"29",29,1,0,39,138,"STEM",NA
"30",30,1,1,30,152,"not-STEM",NA
"31",31,1,1,31,158,"STEM",32
"32",32,1,1,40,135,"not-STEM",NA
"33",33,1,1,32,86,"STEM",43
"34",34,1,0,18,84,"not-STEM",NA
"35",35,1,1,44,99,"STEM",73
"36",36,1,1,31,126,"not-STEM",44
"37",37,1,1,34,79,"STEM",64
"38",38,1,1,37,104,"not-STEM",NA
"39",39,1,1,30,115,"STEM",NA
"40",40,1,1,18,158,"not-STEM",77
"41",41,1,1,40,126,"STEM",25
"42",42,1,0,42,114,"not-STEM",38
"43",43,1,1,15,67,"STEM",55
"44",44,1,0,23,79,"not-STEM",47
"45",45,1,1,6,116,"STEM",73
"46",46,1,1,39,149,"not-STEM",NA
"47",47,1,1,34,85,"STEM",73
"48",48,1,1,20,119,"not-STEM",57
"49",49,1,1,17,158,"STEM",62
"50",50,1,1,30,98,"not-STEM",52
"51",51,1,0,22,74,"STEM",34
"52",52,1,1,24,90,"not-STEM",68
"53",53,1,0,29,126,"STEM",35
"54",54,1,0,27,103,"not-STEM",64
"55",55,1,1,28,112,"STEM",NA
"56",56,1,0,9,85,"not-STEM",9
"57",57,1,1,23,153,"STEM",54
"58",58,1,1,41,88,"not-STEM",72
"59",59,1,1,20,144,"STEM",69
"60",60,1,0,32,71,"not-STEM",60
"61",61,1,1,37,121,"STEM",43
"62",62,1,0,19,65,"not-STEM",NA
"63",63,1,1,31,118,"STEM",NA
"64",64,1,0,25,145,"not-STEM",67
"65",65,1,1,40,108,"STEM",74
"66",66,1,1,29,129,"not-STEM",21
"67",67,1,1,38,133,"STEM",45
"68",68,1,0,23,51,"not-STEM",NA
"69",69,1,0,20,77,"STEM",31
"70",70,1,1,16,84,"not-STEM",47
"71",71,1,0,41,151,"STEM",39
"72",72,1,0,53,110,"not-STEM",58
"73",73,1,1,22,111,"STEM",NA
"74",74,1,1,24,157,"not-STEM",66
"75",75,1,0,6,135,"STEM",34
"76",76,1,1,28,78,"not-STEM",48
"77",77,1,1,22,116,"STEM",46
"78",78,1,0,26,159,"not-STEM",78
"79",79,1,1,24,99,"STEM",20
"80",80,1,1,33,108,"not-STEM",34
"81",81,1,0,11,112,"STEM",45
"82",82,1,1,36,103,"not-STEM",52
"83",83,1,1,50,142,"STEM",60
"84",84,1,1,45,158,"not-STEM",33
"85",85,1,1,24,113,"STEM",12
"86",86,1,1,20,70,"not-STEM",49
"87",87,1,1,40,98,"STEM",55
"88",88,1,1,29,98,"not-STEM",42
"89",89,1,1,24,79,"STEM",37
"90",90,1,0,41,60,"not-STEM",NA
"91",91,1,1,34,97,"STEM",88
"92",92,1,1,30,118,"not-STEM",117
"93",93,1,1,24,170,"STEM",25
"94",94,1,1,31,78,"not-STEM",41
"95",95,1,1,8,121,"STEM",56
"96",96,1,0,46,153,"not-STEM",58
"97",97,1,0,30,79,"STEM",43
"98",98,1,1,18,86,"not-STEM",35
"99",99,1,1,12,67,"STEM",NA
"100",100,1,1,47,83,"not-STEM",47
"101",101,1,0,23,65,"STEM",NA
"102",102,1,1,18,143,"not-STEM",79
"103",103,1,0,31,32,"STEM",NA
"104",104,1,1,29,88,"not-STEM",65
"105",105,1,1,43,94,"STEM",NA
"106",106,1,1,32,131,"not-STEM",61
"107",107,1,1,33,126,"STEM",61
"108",108,1,1,45,68,"not-STEM",45
"109",109,1,1,18,168,"STEM",NA
"110",110,1,1,34,121,"not-STEM",7
"111",111,1,1,33,71,"STEM",NA
"112",112,1,1,28,114,"not-STEM",23
"113",113,1,0,40,113,"STEM",65
"114",114,1,0,51,91,"not-STEM",41
"115",115,1,1,27,133,"STEM",61
"116",116,1,1,13,85,"not-STEM",51
"117",117,1,1,46,121,"STEM",110
"118",118,1,1,33,126,"not-STEM",NA
"119",119,1,1,15,92,"STEM",73
"120",120,1,0,29,117,"not-STEM",61
"121",121,1,1,41,152,"STEM",77
"122",122,1,1,49,100,"not-STEM",37
"123",123,1,0,40,143,"STEM",28
"124",124,1,0,27,87,"not-STEM",16
"125",125,1,1,20,108,"STEM",NA
"126",126,1,1,33,138,"not-STEM",43
"127",127,1,1,30,111,"STEM",54
"128",128,1,1,43,107,"not-STEM",75
"129",129,1,1,33,101,"STEM",36
"130",130,1,0,28,118,"not-STEM",73
"131",131,1,1,35,127,"STEM",NA
"132",132,1,1,34,47,"not-STEM",NA
"133",133,1,1,18,151,"STEM",63
"134",134,1,0,16,86,"not-STEM",63
"135",135,1,1,28,121,"STEM",NA
"136",136,1,1,28,128,"not-STEM",66
"137",137,1,1,44,87,"STEM",32
"138",138,1,1,33,99,"not-STEM",25
"139",139,1,0,33,149,"STEM",54
"140",140,1,0,27,99,"not-STEM",72
"141",141,1,1,45,60,"STEM",NA
"142",142,1,1,51,116,"not-STEM",61
"143",143,1,1,39,124,"STEM",21
"144",144,1,1,22,132,"not-STEM",19
