X,time,strike,married,children,position,satisfaction,wage
1,0,1,0,0,0,17,264
2,0,1,0,0,1,4,570
3,0,1,0,0,0,6,505
4,0,1,0,0,0,14,327
5,0,1,0,0,0,8,459
6,0,1,0,0,0,11,377
7,0,1,0,0,1,38,251
8,0,1,0,0,0,28,317
9,0,1,0,0,0,14,319
10,0,1,0,0,0,3,339
11,0,1,0,0,0,16,461
12,0,1,0,0,0,27,592
13,0,1,0,0,0,18,690
14,0,1,0,0,0,29,538
15,0,1,0,0,0,36,227
16,0,1,0,0,0,11,411
17,0,1,0,0,0,34,354
18,0,1,0,0,0,22,420
19,0,1,0,0,1,36,530
20,0,1,0,0,0,3,309
21,0,1,0,0,0,25,315
22,0,1,0,0,0,33,218
23,0,1,0,0,0,10,505
24,0,1,0,0,0,10,422
25,0,1,0,0,0,20,418
26,0,1,0,0,0,18,452
27,0,1,0,0,0,28,538
28,0,1,0,0,1,26,558
29,0,1,0,0,0,35,442
30,0,1,0,0,0,32,551
31,0,1,0,0,0,35,408
32,0,1,0,0,0,22,284
33,0,1,0,0,0,23,590
34,0,1,0,0,0,26,455
35,0,1,0,0,0,17,681
36,0,1,0,0,0,24,239
37,0,1,0,0,0,11,340
38,0,1,0,0,0,31,250
39,0,1,0,0,0,17,227
40,0,1,0,0,0,22,469
41,0,1,0,0,0,10,458
42,0,1,0,0,0,36,506
43,0,1,0,0,0,8,513
44,0,1,0,0,0,36,433
45,0,1,0,0,0,39,417
46,0,1,0,0,0,33,159
47,0,1,0,0,0,30,506
48,0,1,0,0,0,20,588
49,0,1,0,0,1,16,464
50,0,1,0,0,0,8,486
51,0,1,0,0,1,5,558
52,0,1,0,0,0,18,483
53,0,1,0,0,0,21,282
54,0,1,0,0,0,35,137
55,0,1,0,0,0,18,334
56,0,1,0,0,0,39,366
57,0,1,0,0,0,31,339
58,0,1,0,0,0,11,388
59,0,1,0,0,0,34,563
60,0,1,0,0,0,24,462
61,0,1,0,0,0,34,413
62,0,1,0,0,0,15,464
63,0,1,0,0,0,3,246
64,0,1,0,0,0,37,523
65,0,1,0,0,0,32,538
66,0,1,0,0,0,2,524
67,0,1,0,0,0,6,293
68,0,1,0,0,1,23,558
69,0,1,0,0,0,29,611
70,0,1,0,0,0,40,320
71,0,1,0,0,1,3,385
72,0,1,0,0,0,30,249
73,0,1,0,0,0,23,368
74,0,1,0,0,0,32,569
75,0,1,0,0,0,40,264
76,0,1,0,0,0,38,409
77,0,1,0,0,1,17,348
78,0,1,0,0,0,17,452
79,0,1,0,0,0,17,472
80,0,1,0,0,1,38,632
81,0,1,0,0,0,36,294
82,0,1,0,0,0,37,382
83,0,1,0,0,0,4,378
84,0,1,0,0,0,39,296
85,0,1,0,0,0,38,396
86,0,1,0,0,0,27,447
87,0,1,0,0,0,26,313
88,0,1,0,0,0,39,221
89,0,1,0,0,0,19,318
90,0,1,0,0,0,34,641
91,0,1,0,0,0,28,274
92,0,1,0,0,0,29,554
93,0,1,0,0,1,22,525
94,0,1,0,0,0,32,306
95,0,1,0,0,0,11,314
96,0,1,0,0,0,7,381
97,0,1,0,0,0,13,494
98,0,1,0,0,0,26,504
99,0,1,0,0,0,20,615
100,0,1,0,0,1,16,627
101,0,1,0,0,0,14,277
102,0,1,0,0,0,17,383
103,0,1,0,0,0,12,436
104,0,1,0,0,0,32,466
105,0,1,0,0,0,27,550
106,0,1,0,0,0,5,398
107,0,1,0,0,0,30,366
108,0,1,0,0,0,29,677
109,0,1,0,0,0,18,538
110,0,1,0,0,0,35,294
111,0,1,0,0,0,27,455
112,0,1,0,0,1,32,256
113,0,1,0,0,0,7,403
114,0,1,0,0,0,22,333
115,0,1,0,0,0,38,452
116,0,1,0,0,0,37,466
117,0,1,0,0,0,16,354
118,0,1,0,0,0,34,538
119,0,1,0,0,0,21,430
120,0,1,0,0,0,22,475
121,0,1,0,0,1,37,569
122,0,1,0,0,0,23,272
123,0,1,0,0,0,24,277
124,0,1,0,0,0,18,372
125,0,1,0,0,0,25,494
126,0,1,0,0,0,19,554
127,0,1,0,0,0,34,495
128,0,1,0,0,1,25,371
129,0,1,0,0,0,17,305
130,0,1,0,0,0,17,298
131,0,1,0,0,0,33,192
132,0,1,0,0,0,31,446
133,0,1,0,0,0,22,403
134,0,1,0,0,0,40,179
135,0,1,0,0,0,38,381
136,0,1,0,0,0,35,409
137,0,1,0,0,0,20,445
138,0,1,0,0,0,39,464
139,0,1,0,0,1,32,534
140,0,1,0,0,0,6,303
141,0,1,0,0,1,16,478
142,0,1,0,0,0,34,510
143,0,1,0,0,0,32,542
144,0,1,0,0,0,33,350
145,0,1,0,0,0,16,431
146,0,1,0,0,0,13,218
147,0,1,0,0,0,22,406
148,0,1,0,0,0,20,391
149,0,1,0,0,0,16,468
150,0,1,0,0,0,33,405
151,0,1,0,0,0,33,664
152,0,1,0,0,0,23,440
153,0,1,0,0,1,19,420
154,0,1,0,0,0,22,343
155,0,1,0,0,0,16,369
156,0,1,0,0,0,35,359
157,0,1,0,0,0,40,448
158,0,1,0,0,0,34,388
159,0,1,0,0,0,34,285
160,0,1,0,0,0,37,210
161,0,1,0,0,1,8,455
162,0,1,0,0,0,6,346
163,0,1,0,0,0,22,488
164,0,1,0,0,1,37,518
165,0,1,0,0,0,16,542
166,0,1,0,0,0,15,487
167,0,1,0,0,0,23,527
168,0,1,0,0,0,28,655
169,0,1,0,0,0,27,439
170,0,1,0,0,1,34,521
171,0,1,0,0,0,25,681
172,0,1,0,0,0,27,380
173,0,1,0,0,0,11,555
174,0,1,0,0,1,15,738
175,0,1,0,0,0,7,552
176,0,1,0,0,0,25,276
177,0,1,0,0,0,20,387
178,0,1,0,0,0,6,382
179,0,1,0,0,0,24,140
180,0,1,0,0,0,9,334
181,0,1,0,0,0,17,539
182,0,1,0,0,0,15,496
183,0,1,0,0,0,34,660
184,0,1,0,0,0,22,284
185,0,1,0,0,0,37,495
186,0,1,0,0,0,16,357
187,0,1,0,0,1,15,533
188,0,1,0,0,0,25,310
