"","X","firm_id","california","industry_segment","firm_founder_ceo","dot_com","firm_financial_crisis","time","ipo_value","total_investment"
"1",1,1,1,"Communications and Networking",0,1,0,7.03,366205789.592811,70262936.5919818
"2",2,2,1,"Semiconductors",0,0,0,5.92,145789447.736716,26190020.5202948
"3",3,3,1,"Electronics and Computer Hardware",0,0,1,1.99,626240474.582395,141196768.954062
"4",4,4,1,"Communications and Networking",1,0,0,3.98,613485385.306378,92691839.9284781
"5",5,5,0,"Vehicles and Parts",0,0,1,0.94,961117280.93181,235665032.278579
"6",6,6,0,"Media and Content",1,1,0,1.85,293568922.703588,27012573.479576
"7",7,7,1,"Electronics and Computer Hardware",0,0,0,2.09,70613295.0577529,8198296.93655693
"8",8,8,0,"Communications and Networking",0,1,0,1.13,217831415.894256,17626182.559742
"9",9,9,1,"Media and Content",1,1,1,11.1,394120004.170363,47896596.2328845
"10",10,10,0,"Communications and Networking",1,0,1,3.97,431771037.535132,35298746.0990762
"11",11,11,1,"Software",1,1,0,1.88,247588338.618001,24658716.3398376
"12",12,12,1,"Software",1,0,1,10.88,137115199.127026,13018617.4178368
"13",13,13,1,"Semiconductors",1,0,0,3.99,47340939.1378629,70869378.417091
"14",14,14,1,"Business Support Services",0,1,0,1.07,242114182.171382,27041330.1535959
"15",15,15,1,"Semiconductors",1,0,1,5.08,331562869.104673,37501294.1120552
"16",16,16,0,"Communications and Networking",1,1,0,2.86,573144829.909247,47451514.4848597
"17",18,18,1,"Communications and Networking",0,0,0,4,312530618.018365,77072955.0935378
"18",19,19,0,"Communications and Networking",1,1,0,9.95,417278323.680069,14278664.6700124
"19",20,20,0,"Financial Institutions and Services",1,0,1,13.07,354587606.377676,102291383.539585
"20",21,21,1,"Software",1,1,0,8.06,392267671.426309,23239779.4546554
"21",22,22,0,"Communications and Networking",0,0,0,3.78,922452092.240691,374870053.544471
"22",23,23,0,"Software",0,1,0,3.04,176174933.550791,11142932.5178711
"23",24,24,0,"Communications and Networking",1,0,0,5.99,669652179.180312,259053458.023225
"24",25,25,0,"Software",0,0,0,4.9,185683654.231271,35652363.5013473
"25",26,26,1,"Semiconductors",0,0,0,6.95,112649411.423027,35623674.897441
"26",27,27,0,"Financial Institutions and Services",0,0,0,4.07,106239761.630387,44509446.2548889
"27",29,29,0,"Media and Content",1,1,0,1.02,227376774.713694,11436985.4548518
"28",30,30,0,"Consumer Information Services",1,0,0,5.95,472615632.582448,120239242.080492
"29",31,31,0,"Communications and Networking",1,0,0,6.06,87136638.3209728,70842098.9580332
"30",32,32,0,"Software",0,1,0,5.95,322836641.70005,15459171.3488384
"31",33,33,0,"Financial Institutions and Services",0,0,0,1.96,409643980.42096,95312449.9832533
"32",34,34,1,"Software",0,0,1,2,220394129.670614,22784453.561186
"33",35,35,1,"Software",0,1,0,5.99,230802286.639659,30546784.9777568
"34",36,36,0,"Communications and Networking",1,1,0,0.98,1108322003.57996,39864150.7283261
"35",37,37,0,"Software",1,1,1,10.98,365487267.241962,11652671.2087714
"36",38,38,1,"Semiconductors",1,0,0,8.04,122224490.759278,6974763.65144431
"37",39,39,1,"Communications and Networking",0,0,1,2.23,712461903.567224,78844569.6792125
"38",40,40,1,"Communications and Networking",0,0,0,5.97,139447953.999342,7500003.16120162
"39",41,41,0,"Software",1,1,1,10.2,156637378.377971,11191991.0986987
"40",42,42,0,"Retailers",0,1,0,3.05,404225722.920617,42518124.4230228
"41",43,43,1,"Consumer Information Services",0,1,0,6.97,335170528.308689,27595023.3217657
"42",44,44,0,"Materials and Chemicals",0,0,0,4.05,150595952.930871,178377562.59624
"43",45,45,0,"Renewable Energy",0,0,0,5.94,53253761.5768623,1220946.57864232
"44",46,46,1,"Semiconductors",0,0,1,5.89,554817617.174237,78639446.8636629
"45",47,47,1,"Electronics and Computer Hardware",0,0,0,4.07,250248504.470528,29351170.9639616
"46",48,48,0,"Communications and Networking",1,0,0,1.06,31250595.813596,3040282.51004364
"47",49,49,0,"Semiconductors",1,1,0,5.89,134507026.866221,2123943.37206031
"48",50,50,1,"Software",0,0,0,1.96,159167553.352105,17921523.8828322
"49",51,51,0,"Semiconductors",1,0,1,1.95,234882277.5507,49949747.1008512
"50",52,52,1,"Consumer Information Services",0,1,1,10.94,416268065.950506,73820276.414626
"51",53,53,1,"Consumer Information Services",0,1,0,2.91,304710285.640226,10743441.1418973
"52",54,54,1,"Software",0,1,0,2.87,392554916.480656,41927646.9901937
"53",55,55,0,"Business Support Services",0,1,0,7.87,1329597364.64838,21384630.0503313
"54",56,56,0,"Communications and Networking",0,1,1,10.03,1317638557.71997,141431208.807845
"55",57,57,1,"Software",0,1,1,10.92,405067792.519547,49905211.7921381
"56",59,59,1,"Software",0,0,0,0.96,615272612.553931,110462206.743617
"57",60,60,0,"Business Support Services",1,0,0,6.14,505226802.35875,16001083.5534237
"58",61,61,1,"Software",1,1,0,4.93,189480561.615796,43761981.6692953
"59",62,62,0,"Business Support Services",0,1,0,2.96,312853941.806988,37513596.5540142
"60",63,63,1,"Software",0,0,1,11.06,358757058.462017,45019397.0312403
"61",64,64,0,"Software",1,0,0,2.18,299382626.337131,21893339.1473204
"62",65,65,1,"Software",0,1,0,1.04,333884939.808902,28812042.4979793
"63",66,66,0,"Retailers",1,0,1,6.04,285967864.333296,47689938.4668532
"64",67,67,1,"Communications and Networking",0,0,0,7.87,318916222.224079,69793678.6585235
"65",68,68,0,"Business Support Services",1,0,0,4.94,192311497.853224,29061504.8789116
"66",69,69,1,"Business Support Services",1,0,0,5,1126152733.49408,408151913.468157
"67",70,70,0,"Business Support Services",0,1,0,3,287589593.724179,23040866.4633252
"68",71,71,0,"Retailers",0,0,0,2.88,49394172.0251927,35473163.116215
"69",73,73,0,"Consumer Information Services",1,0,0,7.13,205549409.803454,67057364.6606855
"70",74,74,1,"Software",1,0,0,7.14,144603634.177847,14154370.4487445
"71",75,75,1,"Software",1,1,0,3.08,232429846.040602,33166570.0370272
"72",77,77,0,"Communications and Networking",1,0,0,1.94,656343606.385536,103279658.711529
"73",78,78,0,"Materials and Chemicals",1,0,0,4.93,51487107.7838021,3653619.94559419
"74",79,79,0,"Travel and Leisure",0,1,0,9.86,117056935.195412,31761931.2463745
"75",80,80,1,"Software",1,0,0,14.01,250400451.423976,3941866.89393638
"76",81,81,1,"Business Support Services",0,0,0,6.98,226832632.104644,13183663.4018606
"77",82,82,1,"Software",0,1,0,3.98,453069910.792428,22671835.834624
"78",83,83,0,"Media and Content",1,0,1,4.11,213870874.353266,103131249.294247
"79",84,84,0,"Software",1,0,0,6.91,162502184.057891,44812962.6321137
"80",85,85,0,"Consumer Information Services",0,0,0,5.98,336352743.80788,69883630.833401
"81",86,86,0,"Business Support Services",1,1,0,0.99,279212304.935528,25780037.2398733
"82",87,87,0,"Communications and Networking",1,0,0,10.03,256499429.910121,14073188.2138603
"83",89,89,1,"Semiconductors",1,0,1,2.97,393568622.221947,54089681.743619
"84",90,90,0,"Communications and Networking",0,0,1,5.02,246846686.636358,165002799.766052
"85",91,91,0,"Software",0,0,0,4.98,287967734.834635,43754805.2927804
"86",92,92,0,"Retailers",1,0,0,3.99,89127991.3794253,33992993.9142061
"87",93,93,1,"Communications and Networking",0,0,0,2.03,726626392.225159,64777054.4097619
"88",94,94,1,"Semiconductors",0,1,0,9.23,541752059.531148,50130892.8613658
"89",95,95,0,"Software",1,1,0,6.06,265608240.217347,26809262.4613575
"90",96,96,0,"",1,0,0,5.93,210413878.688347,71061339.5961551
"91",97,97,0,"Retailers",1,1,0,2.92,288852865.350883,3715110.57440776
"92",98,98,0,"Communications and Networking",0,1,0,3.1,518181435.251532,113496096.247604
"93",99,99,0,"Travel and Leisure",1,0,0,3.18,19672396.1414493,2275107.81396926
"94",100,100,0,"Communications and Networking",0,0,1,0.96,3333027876.42196,1374432835.91564
"95",101,101,1,"Communications and Networking",0,1,0,1.07,574337637.504491,40674584.6668737
