"","State","hatch","evictionfilingrate","liberal","statecontrol","legislative_control","governor","state_control","Funding","density","Age65Percent","Population","CaseRateAverage","Rank","BedRate","OverallDays","Stage1Days","Stage2Days","Stage3Days","Stage4Days","Stage5Days","OverallEvent","Stage1","Stage2","Stage3","Stage4","Stage5"
"1","Alabama","contradictory",3.77599998,-5.780631,0,"Rep","Rep","Rep",21.6,94.4,16.9,4903185,1.07446096194019,42,3.08513751775632,43,379,379,379,379,43,1,0,0,0,0,1
"2","Alaska","contradictory",1.96600002,-0.2601433,0,"Rep","Rep","Rep",49.67,1.2,11.8,731545,0.296893948141233,14,1.74151966044468,32,50,50,32,379,379,1,1,1,1,0,0
"3","Arizona","contradictory",5.752,-4.489948,0,"Rep","Rep","Rep",21.07,56.3,17.5,7278717,0.296429593106047,13,1.89236647062937,33,379,379,379,379,33,1,0,0,0,0,1
"4","Arkansas","pro-business",0.545999998,-4.069135,0,"Rep","Rep","Rep",23.97,56,17,3017804,0.316683943900673,15,2.65457929010632,379,379,379,379,379,379,0,0,0,0,0,0
"5","California","protectionist",1.294,16.50066,3,"Dem","Dem","Dem",19.61,239.1,14.3,39512223,0.799170362515227,37,1.86901658253953,36,379,379,46,379,379,1,0,0,1,0,0
"6","Colorado","pro-business",4.79799994,1.562555,3,"Dem","Dem","Dem",21.13,48.5,14.2,5758736,0.891539469049345,40,1.44371959402202,70,70,70,379,379,70,1,1,1,0,0,1
"7","Connecticut","protectionist",3.856,8.287871,3,"Dem","Dem","Dem",20.29,738.1,17.2,3565287,1.46095299116783,45,2.48507343167605,25,50,50,25,379,28,1,1,1,1,0,1
"8","Delaware","contradictory",17.5260004,3.569204,3,"Dem","Dem","Dem",30.15,460.8,18.7,973764,0.556985965137274,29,2.09085568987968,26,379,379,379,26,379,1,0,0,0,1,0
"9","District of Columbia",NA,16.85,NA,NA,"Dem","N/A","N/A",NA,9856.5,NA,705749,NA,NA,NA,24,379,379,379,379,379,1,0,0,0,0,0
"10","Florida","pro-business",4.84000006,-1.019351,0,"Rep","Rep","Rep",19.09,350.6,20.5,21477737,0.52690406916668,27,2.62644057891201,42,379,42,379,42,379,1,0,1,0,1,0
"11","Georgia","pro-business",18.012,-5.140288,0,"Rep","Rep","Rep",26.5,168.4,13.9,10617423,0.662874082330998,32,2.11134095344982,379,379,379,379,379,379,0,0,0,0,0,0
"12","Hawaii","contradictory",0.448,10.15895,3,"Dem","Dem","Dem",31.76,211.8,18.4,1415872,0.341681479476565,18,1.78194074040591,26,56,56,26,56,26,1,1,1,1,1,1
"13","Idaho","pro-business",1.264,-6.121793,0,"Rep","Rep","Rep",24.57,19,15.9,1787065,0.553344162340013,28,1.41516956574047,25,379,379,25,379,379,1,0,0,1,0,0
"14","Illinois","pro-business",3.84200002,8.043463,3,"Dem","Dem","Dem",16.76,231.1,15.6,12671821,0.815999034755974,39,2.27062866497246,30,63,63,379,379,30,1,1,1,1,1,1
"15","Indiana","pro-business",8.31200008,-5.017521,0,"Rep","Rep","Rep",17.11,181,15.8,6732219,0.566535875249321,30,2.33206911421034,28,28,28,28,28,379,1,1,1,1,1,0
"16","Iowa","contradictory",3.62199998,-1.361869,0,"Rep","Rep","Rep",21.7,54.5,17.1,3155070,0.262232145346506,8,2.03513709679975,28,35,28,379,379,379,1,1,1,0,0,0
"17","Kansas","contradictory",3.58200002,-4.499499,1,"Rep","Dem","Divided",20.26,34.9,15.9,2913314,0.251828733303084,7,2.19990018240396,26,379,379,379,379,379,1,0,0,0,0,0
"18","Kentucky","contradictory",5.508,-4.607376,1,"Rep","Dem","Divided",21.17,109.9,16.4,4467673,0.226810957579772,5,3.01163491598423,25,379,41,25,379,34,1,0,1,1,0,1
"19","Louisiana","pro-business",5.862,-3.177667,1,"Rep","Dem","Divided",27.59,104.9,15.4,4648794,2.18692976208807,47,3.25202622443584,26,379,379,26,379,379,1,0,0,1,0,0
"20","Maine","protectionist",2.37600004,1.426961,3,"Dem","Dem","Dem",27.98,43.1,20.6,1344212,0.400245294525742,22,2.15442207032819,27,379,379,27,56,56,1,0,0,1,1,1
