Age,White.Male,White.Female,Black.Male,Black.Female
0,4.95E-05,3.83E-05,9.60E-05,8.14E-05
1,1.88E-06,1.67E-06,3.71E-06,3.13E-06
2,1.39E-06,1.05E-06,2.40E-06,1.94E-06
3,1.06E-06,8.16E-07,1.94E-06,1.44E-06
4,9.06E-07,6.49E-07,1.52E-06,1.12E-06
5,7.97E-07,5.94E-07,1.36E-06,1.03E-06
6,7.42E-07,5.39E-07,1.21E-06,8.90E-07
7,6.85E-07,4.82E-07,1.10E-06,7.50E-07
8,6.24E-07,4.52E-07,9.56E-07,6.65E-07
9,5.34E-07,4.19E-07,7.67E-07,6.35E-07
10,4.46E-07,3.92E-07,6.33E-07,6.08E-07
11,4.71E-07,3.89E-07,6.60E-07,6.33E-07
12,6.68E-07,4.71E-07,9.75E-07,6.90E-07
13,1.09E-06,5.86E-07,1.68E-06,7.75E-07
14,1.65E-06,7.53E-07,2.60E-06,9.15E-07
15,2.26E-06,9.47E-07,3.65E-06,1.08E-06
16,2.84E-06,1.11E-06,4.60E-06,1.24E-06
17,3.28E-06,1.25E-06,5.45E-06,1.41E-06
18,3.55E-06,1.31E-06,6.15E-06,1.60E-06
19,3.70E-06,1.33E-06,6.74E-06,1.76E-06
20,3.83E-06,1.36E-06,7.37E-06,1.98E-06
21,3.99E-06,1.39E-06,8.04E-06,2.19E-06
22,4.10E-06,1.41E-06,8.59E-06,2.41E-06
23,4.18E-06,1.42E-06,8.97E-06,2.63E-06
24,4.22E-06,1.42E-06,9.21E-06,2.82E-06
25,4.23E-06,1.42E-06,9.40E-06,3.01E-06
26,4.26E-06,1.42E-06,9.61E-06,3.23E-06
27,4.32E-06,1.47E-06,9.95E-06,3.48E-06
28,4.46E-06,1.52E-06,1.05E-05,3.77E-06
29,4.63E-06,1.60E-06,1.11E-05,4.11E-06
30,4.82E-06,1.71E-06,1.18E-05,4.47E-06
31,5.01E-06,1.81E-06,1.25E-05,4.82E-06
32,5.22E-06,1.92E-06,1.32E-05,5.17E-06
33,5.42E-06,2.03E-06,1.39E-05,5.50E-06
34,5.66E-06,2.15E-06,1.48E-05,5.86E-06
35,5.91E-06,2.27E-06,1.57E-05,6.23E-06
36,6.21E-06,2.44E-06,1.66E-05,6.63E-06
37,6.49E-06,2.62E-06,1.75E-05,7.08E-06
38,6.78E-06,2.84E-06,1.84E-05,7.54E-06
39,7.07E-06,3.09E-06,1.91E-05,8.05E-06
40,7.40E-06,3.38E-06,2.00E-05,8.61E-06
41,7.77E-06,3.66E-06,2.09E-05,9.23E-06
42,8.22E-06,4.00E-06,2.19E-05,9.92E-06
43,8.78E-06,4.40E-06,2.32E-05,1.06E-05
44,9.46E-06,4.84E-06,2.46E-05,1.14E-05
45,1.03E-05,5.39E-06,2.62E-05,1.23E-05
46,1.12E-05,6.00E-06,2.80E-05,1.33E-05
47,1.23E-05,6.69E-06,3.00E-05,1.45E-05
48,1.34E-05,7.39E-06,3.22E-05,1.57E-05
49,1.46E-05,8.12E-06,3.44E-05,1.71E-05
50,1.59E-05,8.95E-06,3.67E-05,1.85E-05
51,1.75E-05,9.91E-06,3.92E-05,2.01E-05
52,1.92E-05,1.10E-05,4.21E-05,2.17E-05
53,2.12E-05,1.21E-05,4.53E-05,2.35E-05
54,2.34E-05,1.32E-05,4.89E-05,2.53E-05
55,2.57E-05,1.45E-05,5.27E-05,2.73E-05
56,2.82E-05,1.58E-05,5.68E-05,2.94E-05
57,3.12E-05,1.74E-05,6.10E-05,3.18E-05
58,3.46E-05,1.92E-05,6.54E-05,3.47E-05
59,3.83E-05,2.11E-05,7.01E-05,3.79E-05
60,4.22E-05,2.32E-05,7.47E-05,4.11E-05
61,4.61E-05,2.53E-05,7.95E-05,4.45E-05
62,5.03E-05,2.75E-05,8.49E-05,4.79E-05
63,5.49E-05,3.00E-05,9.10E-05,5.16E-05
64,5.97E-05,3.26E-05,9.77E-05,5.54E-05
65,6.49E-05,3.54E-05,0.000104636,5.93E-05
66,7.02E-05,3.84E-05,0.000111608,6.34E-05
67,7.61E-05,4.16E-05,0.000118778,6.76E-05
68,8.29E-05,4.54E-05,0.000126377,7.21E-05
69,9.08E-05,4.98E-05,0.000134713,7.71E-05
70,9.96E-05,5.48E-05,0.00014424,8.27E-05
71,0.000109342,6.04E-05,0.000154884,8.89E-05
72,0.000119871,6.65E-05,0.000166003,9.57E-05
73,0.00013088,7.30E-05,0.000176688,0.000102663
74,0.000142285,7.99E-05,0.000186641,0.000109678
75,0.000154518,8.71E-05,0.000196313,0.000116698
76,0.000168007,9.50E-05,0.000206704,0.000124122
77,0.000182635,0.000104298,0.000218223,0.000132532
78,0.000198822,0.000115411,0.00023217,0.00014283
79,0.000216985,0.000128568,0.000249147,0.000155409
80,0.000238174,0.000143511,0.000269953,0.000170637
81,0.000262214,0.000159796,0.000293357,0.000187732
82,0.000287718,0.000177826,0.000317164,0.000205655
83,0.000313067,0.000197565,0.000337312,0.000222438
84,0.000338189,0.000219392,0.000352667,0.00023759
85,0.000366957,0.000244623,0.000367178,0.000253037
